iter	Passed	Remaining
0	144	144542
1	145	72597
2	146	48640
3	147	36645
4	147	29451
5	148	24654
6	149	21227
7	150	18661
8	151	16655
9	152	15049
10	152	13744
11	153	12649
12	154	11730
13	155	10933
14	156	10256
15	157	9671
16	158	9142
17	159	8679
18	159	8254
19	160	7871
20	161	7528
21	162	7212
22	162	6922
23	163	6652
24	164	6407
25	165	6181
26	165	5973
27	166	5780
28	167	5601
29	168	5433
30	169	5286
31	170	5142
32	170	5003
33	171	4878
34	172	4762
35	173	4652
36	174	4544
37	175	4440
38	176	4342
39	177	4248
40	177	4160
41	178	4076
42	179	3995
43	180	3921
44	181	3848
45	182	3778
46	183	3712
47	183	3647
48	184	3587
49	185	3530
50	186	3479
51	188	3429
52	189	3379
53	189	3328
54	190	3279
55	191	3232
56	192	3187
57	193	3142
58	194	3100
59	195	3059
60	196	3021
61	197	2982
62	198	2946
63	198	2909
64	199	2873
65	200	2839
66	201	2810
67	203	2784
68	204	2757
69	205	2728
70	206	2698
71	207	2670
72	208	2645
73	209	2618
74	210	2590
75	211	2566
76	211	2540
77	212	2515
78	213	2491
79	214	2468
80	215	2445
81	216	2422
82	216	2397
83	218	2378
84	219	2359
85	220	2338
86	220	2317
87	221	2297
88	222	2278
89	223	2259
90	224	2240
91	225	2222
92	226	2205
93	226	2187
94	227	2170
95	228	2154
96	229	2140
97	230	2125
98	231	2108
99	232	2095
100	233	2080
101	234	2067
102	235	2053
103	236	2038
104	237	2024
105	238	2010
106	239	1997
107	240	1984
108	241	1971
109	242	1958
110	242	1945
111	243	1934
112	244	1921
113	245	1910
114	247	1903
115	248	1895
116	249	1883
117	250	1872
118	251	1860
119	252	1848
120	252	1837
121	253	1825
122	254	1814
123	255	1803
124	256	1792
125	257	1782
126	257	1771
127	258	1762
128	259	1752
129	260	1742
130	261	1732
131	262	1722
132	263	1716
133	264	1707
134	265	1699
135	266	1690
136	266	1680
137	267	1671
138	268	1663
139	269	1654
140	270	1645
141	270	1636
142	271	1628
143	272	1620
144	273	1613
145	274	1605
146	275	1597
147	276	1589
148	276	1581
149	277	1574
150	278	1568
151	279	1561
152	280	1553
153	281	1546
154	282	1538
155	283	1531
156	283	1524
157	284	1517
158	285	1511
159	286	1504
160	287	1496
161	287	1489
162	288	1482
163	289	1476
164	290	1469
165	291	1463
166	292	1456
167	292	1450
168	294	1445
169	294	1440
170	295	1434
171	296	1428
172	297	1422
173	298	1416
174	299	1411
175	300	1406
176	301	1400
177	301	1394
178	302	1388
179	303	1383
180	304	1378
181	305	1372
182	306	1366
183	306	1360
184	307	1355
185	308	1350
186	309	1346
187	310	1342
188	311	1337
189	312	1332
190	313	1329
191	315	1325
192	316	1322
193	317	1317
194	317	1312
195	318	1308
196	319	1303
197	320	1299
198	321	1295
199	323	1294
200	325	1293
201	326	1291
202	328	1288
203	329	1284
204	330	1280
205	331	1276
206	332	1272
207	333	1268
208	334	1264
209	335	1261
210	336	1257
211	337	1253
212	338	1249
213	339	1247
214	340	1244
215	341	1241
216	342	1237
217	343	1233
218	344	1229
219	346	1227
220	347	1225
221	348	1221
222	349	1218
223	350	1215
224	352	1212
225	353	1211
226	355	1209
227	357	1209
228	358	1207
229	359	1205
230	361	1204
231	363	1203
232	365	1202
233	366	1199
234	367	1196
235	369	1195
236	370	1192
237	371	1190
238	373	1188
239	374	1185
240	375	1182
241	376	1179
242	377	1176
243	378	1174
244	380	1171
245	381	1168
246	383	1168
247	384	1167
248	386	1166
249	388	1165
250	394	1177
251	396	1177
252	397	1174
253	399	1174
254	401	1172
255	402	1169
256	404	1168
257	407	1171
258	408	1168
259	409	1166
260	411	1164
261	412	1161
262	413	1159
263	415	1157
264	416	1155
265	418	1153
266	420	1153
267	421	1150
268	422	1147
269	423	1145
270	424	1142
271	425	1139
272	427	1137
273	430	1140
274	431	1138
275	433	1137
276	434	1134
277	436	1133
278	437	1130
279	438	1127
280	439	1124
281	440	1121
282	441	1118
283	442	1116
284	443	1113
285	444	1110
286	446	1108
287	447	1106
288	450	1108
289	452	1106
290	453	1103
291	454	1100
292	455	1097
293	456	1095
294	457	1092
295	458	1089
296	459	1086
297	460	1084
298	461	1082
299	463	1080
300	464	1077
301	465	1075
302	466	1072
303	467	1069
304	468	1067
305	469	1064
306	470	1062
307	471	1059
308	472	1056
309	473	1053
310	474	1050
311	475	1047
312	476	1045
313	477	1043
314	478	1040
315	479	1037
316	480	1035
317	481	1032
318	482	1029
319	483	1026
320	483	1023
321	484	1020
322	485	1018
323	486	1015
324	487	1012
325	488	1009
326	489	1007
327	490	1005
328	491	1003
329	493	1000
330	493	998
331	494	995
332	495	992
333	496	989
334	497	987
335	498	984
336	498	981
337	499	978
338	500	976
339	501	973
340	502	970
341	503	968
342	503	965
343	504	962
344	506	961
345	507	959
346	508	956
347	509	954
348	510	951
349	510	948
350	511	945
351	512	943
352	513	941
353	514	939
354	515	937
355	516	935
356	517	932
357	518	930
358	520	928
359	521	926
360	522	924
361	523	922
362	524	920
363	525	918
364	526	915
365	527	913
366	528	912
367	529	909
368	530	907
369	531	905
370	532	903
371	534	901
372	535	899
373	537	899
374	538	897
375	540	897
376	541	895
377	543	893
378	544	891
379	545	890
380	546	888
381	547	885
382	548	883
383	549	881
384	550	878
385	551	876
386	552	874
387	553	872
388	554	870
389	555	868
390	556	866
391	557	864
392	558	862
393	559	860
394	560	857
395	560	855
396	561	853
397	562	851
398	563	848
399	564	846
400	565	844
401	565	841
402	566	839
403	567	837
404	568	835
405	569	833
406	570	831
407	571	829
408	572	827
409	573	825
410	574	823
411	575	821
412	576	819
413	577	817
414	578	815
415	579	813
416	580	811
417	581	808
418	582	807
419	583	805
420	584	803
421	585	801
422	586	799
423	587	798
424	589	796
425	589	794
426	590	792
427	591	790
428	592	788
429	593	786
430	594	784
431	594	782
432	595	780
433	596	778
434	597	776
435	598	774
436	600	773
437	601	771
438	602	769
439	603	767
440	604	765
441	605	763
442	606	761
443	606	760
444	607	758
445	608	756
446	609	754
447	610	752
448	611	750
449	612	748
450	613	747
451	614	745
452	615	743
453	616	741
454	617	740
455	619	738
456	620	737
457	621	735
458	622	733
459	623	731
460	624	729
461	624	727
462	625	725
463	626	723
464	628	722
465	629	720
466	630	719
467	631	717
468	632	716
469	633	714
470	634	712
471	636	711
472	636	709
473	637	707
474	638	705
475	639	704
476	640	702
477	641	700
478	642	698
479	643	697
480	644	695
481	646	694
482	646	692
483	648	690
484	649	689
485	650	687
486	651	685
487	651	684
488	653	682
489	653	680
490	654	678
491	655	677
492	657	676
493	658	674
494	659	673
495	661	671
496	662	670
497	662	668
498	663	666
499	664	664
500	665	662
501	666	661
502	667	659
503	668	657
504	669	655
505	669	654
506	670	652
507	671	650
508	672	648
509	673	647
510	674	645
511	675	644
512	676	642
513	677	640
514	678	638
515	679	636
516	679	635
517	680	633
518	681	631
519	682	629
520	683	628
521	684	626
522	684	624
523	685	623
524	686	621
525	687	619
526	688	618
527	689	616
528	690	614
529	691	613
530	692	611
531	693	609
532	693	607
533	694	606
534	695	604
535	696	602
536	697	601
537	698	599
538	698	597
539	699	596
540	700	594
541	701	592
542	702	591
543	703	589
544	704	588
545	705	586
546	706	585
547	707	583
548	708	581
549	709	580
550	710	578
551	711	577
552	712	575
553	712	573
554	713	572
555	714	570
556	715	569
557	716	567
558	717	565
559	718	564
560	719	562
561	720	561
562	720	559
563	721	557
564	722	556
565	723	554
566	724	553
567	724	551
568	726	549
569	726	548
570	727	546
571	728	545
572	729	543
573	730	542
574	731	540
575	732	539
576	733	537
577	734	536
578	736	535
579	737	533
580	738	532
581	739	530
582	740	529
583	741	527
584	741	526
585	742	524
586	743	523
587	744	521
588	745	520
589	746	518
590	746	516
591	747	515
592	749	514
593	750	512
594	751	511
595	752	509
596	752	508
597	753	506
598	754	505
599	755	503
600	756	502
601	757	500
602	758	499
603	759	497
604	760	496
605	761	494
606	761	493
607	762	491
608	763	490
609	764	488
610	766	488
611	767	486
612	768	485
613	769	483
614	770	482
615	770	480
616	771	479
617	772	477
618	773	476
619	774	474
620	775	472
621	775	471
622	776	470
623	777	468
624	778	467
625	779	465
626	780	464
627	781	462
628	782	461
629	783	460
630	784	458
631	784	457
632	785	455
633	786	454
634	787	452
635	788	451
636	789	449
637	789	448
638	790	446
639	791	445
640	792	443
641	793	442
642	794	441
643	795	439
644	796	438
645	797	436
646	798	435
647	799	434
648	799	432
649	800	431
650	801	429
651	802	428
652	803	426
653	804	425
654	804	423
655	805	422
656	806	421
657	807	419
658	808	418
659	809	416
660	810	415
661	811	414
662	812	412
663	813	411
664	814	410
665	815	408
666	816	407
667	816	405
668	817	404
669	818	403
670	819	401
671	820	400
672	821	398
673	821	397
674	822	396
675	823	394
676	825	393
677	826	392
678	827	391
679	828	389
680	829	388
681	829	386
682	830	385
683	831	384
684	832	382
685	833	381
686	834	380
687	835	378
688	836	377
689	837	376
690	838	374
691	839	373
692	840	372
693	841	371
694	842	369
695	843	368
696	844	367
697	845	365
698	846	364
699	847	363
700	848	361
701	849	360
702	850	359
703	851	358
704	852	356
705	853	355
706	854	353
707	855	352
708	856	351
709	857	350
710	859	349
711	860	347
712	861	346
713	861	345
714	862	343
715	863	342
716	864	341
717	865	339
718	866	338
719	867	337
720	868	335
721	869	334
722	870	333
723	871	332
724	872	330
725	873	329
726	874	328
727	875	327
728	876	325
729	877	324
730	877	323
731	878	321
732	879	320
733	880	319
734	881	317
735	882	316
736	883	315
737	884	313
738	885	312
739	886	311
740	887	310
741	888	308
742	889	307
743	890	306
744	891	305
745	892	303
746	893	302
747	894	301
748	895	299
749	896	298
750	898	297
751	899	296
752	900	295
753	901	294
754	902	292
755	903	291
756	904	290
757	905	289
758	906	287
759	907	286
760	909	285
761	910	284
762	910	282
763	912	281
764	913	280
765	914	279
766	915	278
767	916	276
768	917	275
769	918	274
770	919	273
771	920	271
772	921	270
773	922	269
774	924	268
775	925	267
776	926	266
777	928	264
778	929	263
779	929	262
780	930	261
781	932	259
782	933	258
783	933	257
784	934	256
785	935	254
786	936	253
787	937	252
788	938	250
789	939	249
790	939	248
791	940	247
792	941	245
793	942	244
794	943	243
795	944	241
796	944	240
797	945	239
798	947	238
799	947	236
800	948	235
801	949	234
802	950	233
803	951	231
804	952	230
805	952	229
806	953	228
807	954	226
808	955	225
809	956	224
810	957	223
811	957	221
812	958	220
813	959	219
814	960	218
815	961	216
816	962	215
817	963	214
818	964	213
819	965	211
820	966	210
821	967	209
822	968	208
823	968	206
824	969	205
825	970	204
826	971	203
827	972	201
828	973	200
829	974	199
830	974	198
831	975	197
832	976	195
833	978	194
834	979	193
835	980	192
836	981	191
837	982	189
838	983	188
839	984	187
840	985	186
841	986	185
842	987	183
843	988	182
844	989	181
845	989	180
846	990	178
847	991	177
848	993	176
849	996	175
850	998	174
851	999	173
852	1000	172
853	1001	171
854	1002	169
855	1003	168
856	1004	167
857	1005	166
858	1006	165
859	1007	163
860	1008	162
861	1009	161
862	1011	160
863	1012	159
864	1012	158
865	1013	156
866	1014	155
867	1015	154
868	1016	153
869	1017	152
870	1018	150
871	1019	149
872	1019	148
873	1020	147
874	1021	145
875	1022	144
876	1024	143
877	1025	142
878	1025	141
879	1026	139
880	1027	138
881	1028	137
882	1029	136
883	1029	135
884	1030	133
885	1031	132
886	1032	131
887	1033	130
888	1033	129
889	1034	127
890	1035	126
891	1036	125
892	1037	124
893	1038	123
894	1039	121
895	1040	120
896	1041	119
897	1041	118
898	1042	117
899	1043	115
900	1044	114
901	1045	113
902	1046	112
903	1046	111
904	1047	109
905	1048	108
906	1049	107
907	1050	106
908	1051	105
909	1052	104
910	1053	102
911	1054	101
912	1055	100
913	1056	99
914	1057	98
915	1058	97
916	1059	95
917	1060	94
918	1060	93
919	1061	92
920	1062	91
921	1063	89
922	1064	88
923	1065	87
924	1066	86
925	1067	85
926	1068	84
927	1069	82
928	1070	81
929	1071	80
930	1072	79
931	1073	78
932	1074	77
933	1075	75
934	1076	74
935	1077	73
936	1078	72
937	1079	71
938	1080	70
939	1081	69
940	1082	67
941	1083	66
942	1084	65
943	1085	64
944	1086	63
945	1087	62
946	1088	60
947	1088	59
948	1089	58
949	1090	57
950	1091	56
951	1092	55
952	1093	53
953	1094	52
954	1095	51
955	1096	50
956	1097	49
957	1098	48
958	1099	47
959	1100	45
960	1101	44
961	1102	43
962	1103	42
963	1105	41
964	1106	40
965	1107	38
966	1108	37
967	1109	36
968	1110	35
969	1110	34
970	1111	33
971	1112	32
972	1113	30
973	1114	29
974	1115	28
975	1116	27
976	1117	26
977	1118	25
978	1119	24
979	1120	22
980	1120	21
981	1121	20
982	1123	19
983	1125	18
984	1126	17
985	1127	16
986	1128	14
987	1129	13
988	1130	12
989	1131	11
990	1132	10
991	1133	9
992	1133	7
993	1134	6
994	1135	5
995	1136	4
996	1137	3
997	1138	2
998	1139	1
999	1139	0
